Date,Average Price,Open Price,High Price,Low Price,Last close Price,Last Price,Last Price (adjusted),AdjustmentFactor,Price Change(%),Best bid,Best ask,Trades,Volume,Turnover,CCY
10.09.2014,0.662,0.660,0.665,0.657,0.665,0.658,0.658,1.0000000000,-1.05%,0.658,0.660,37,138382,91602.47,EUR
11.09.2014,0.661,0.658,0.670,0.658,0.658,0.660,0.660,1.0000000000,0.30%,0.660,0.662,20,278508,184177.93,EUR
12.09.2014,0.660,0.661,0.661,0.658,0.660,0.659,0.659,1.0000000000,-0.15%,0.658,0.659,21,75530,49861.63,EUR
15.09.2014,0.660,0.659,0.665,0.658,0.659,0.658,0.658,1.0000000000,-0.15%,0.658,0.660,26,60661,40059.48,EUR
16.09.2014,0.654,0.657,0.657,0.650,0.658,0.654,0.654,1.0000000000,-0.61%,0.651,0.654,20,34732,22722.38,EUR
17.09.2014,0.654,0.655,0.659,0.650,0.654,0.657,0.657,1.0000000000,0.46%,0.651,0.655,19,54339,35557.81,EUR
18.09.2014,0.652,0.650,0.656,0.649,0.657,0.649,0.649,1.0000000000,-1.22%,0.649,0.652,12,27688,18049.16,EUR
19.09.2014,0.650,0.650,0.653,0.646,0.649,0.646,0.646,1.0000000000,-0.46%,0.647,0.654,26,127080,82576.66,EUR
22.09.2014,0.649,0.650,0.655,0.646,0.646,0.646,0.646,1.0000000000,0.00%,0.646,0.648,15,14472,9394.17,EUR
23.09.2014,0.648,0.646,0.649,0.646,0.646,0.647,0.647,1.0000000000,0.15%,0.647,0.648,24,92662,60028.58,EUR
24.09.2014,0.643,0.649,0.649,0.640,0.647,0.641,0.641,1.0000000000,-0.93%,0.640,0.642,40,90150,57947.66,EUR
25.09.2014,0.638,0.641,0.646,0.635,0.641,0.635,0.635,1.0000000000,-0.94%,0.634,0.635,20,48099,30607.34,EUR
26.09.2014,0.638,0.636,0.640,0.635,0.635,0.635,0.635,1.0000000000,0.00%,0.634,0.635,23,73232,46749.78,EUR
29.09.2014,0.635,0.639,0.639,0.630,0.635,0.635,0.635,1.0000000000,0.00%,0.635,0.638,19,38204,24259.18,EUR
30.09.2014,0.636,0.638,0.638,0.632,0.635,0.633,0.633,1.0000000000,-0.31%,0.636,0.638,12,25580,16263.74,EUR
01.10.2014,0.635,0.639,0.639,0.635,0.633,0.638,0.638,1.0000000000,0.79%,0.635,0.638,12,12496,7938.38,EUR
02.10.2014,0.634,0.633,0.637,0.633,0.638,0.634,0.634,1.0000000000,-0.56%,0.632,0.635,12,27788,17628.88,EUR
03.10.2014,0.635,0.637,0.638,0.633,0.634,0.633,0.633,1.0000000000,-0.22%,0.633,0.635,13,31927,20260.02,EUR
06.10.2014,0.634,0.637,0.639,0.628,0.633,0.638,0.638,1.0000000000,0.79%,0.634,0.638,41,110325,69944.94,EUR
07.10.2014,0.630,0.632,0.632,0.627,0.638,0.627,0.627,1.0000000000,-1.72%,0.627,0.634,11,11803,7431.67,EUR
08.10.2014,0.632,0.638,0.638,0.627,0.627,0.633,0.633,1.0000000000,0.96%,0.628,0.633,29,730278,460252.81,EUR
09.10.2014,0.630,0.632,0.632,0.628,0.633,0.630,0.630,1.0000000000,-0.47%,0.630,0.632,17,10775,6791.40,EUR
10.10.2014,0.628,0.630,0.630,0.626,0.630,0.626,0.626,1.0000000000,-0.63%,0.626,0.628,26,267311,167734.80,EUR
